time,TP9,AF7,AF8,TP10,AUX
1644477864497.25,-39.0625,-18.5546875,121.09375,-22.94921875,35.64453125
1644477864501.1562,-69.82421875,-13.671875,-212.40234375,-41.015625,-41.50390625
1644477864505.0625,-69.82421875,-20.99609375,-445.3125,-35.64453125,79.1015625
1644477864508.9688,-37.59765625,-25.87890625,-386.23046875,-16.11328125,380.859375
1644477864512.875,-15.625,-19.04296875,153.3203125,-2.44140625,174.31640625
1644477864516.7812,-25.390625,-19.53125,215.8203125,-14.6484375,-67.3828125
1644477864520.6875,-51.26953125,-22.94921875,-210.44921875,-41.9921875,17.08984375
1644477864524.5938,-56.640625,-25.390625,-285.64453125,-43.45703125,12.20703125
1644477864528.5,-24.4140625,-22.94921875,166.015625,-20.01953125,-107.421875
1644477864532.4062,3.41796875,-15.13671875,425.29296875,-1.953125,-66.89453125
1644477864536.3125,-16.6015625,-23.4375,142.578125,-14.6484375,36.1328125
1644477864540.2188,-58.10546875,-29.78515625,-103.515625,-35.64453125,-89.84375
1644477864544.125,-71.2890625,-23.92578125,-185.05859375,-39.55078125,-170.41015625
1644477864548.0312,-37.59765625,-21.484375,-83.0078125,-26.85546875,-24.4140625
1644477864551.9375,-8.7890625,-28.3203125,-164.55078125,-8.30078125,237.3046875
1644477864555.8438,-20.5078125,-27.83203125,-200.1953125,-9.27734375,252.9296875
1644477864559.75,-51.7578125,-26.85546875,51.7578125,-36.62109375,-91.796875
1644477864563.6562,-64.94140625,-30.2734375,-138.18359375,-52.734375,-176.26953125
1644477864567.5625,-39.55078125,-33.69140625,-115.72265625,-42.48046875,-91.30859375
1644477864571.4688,-13.18359375,-37.109375,276.85546875,-27.83203125,-67.3828125
1644477864575.375,-15.13671875,-34.1796875,233.88671875,-25.87890625,-37.109375
1644477864579.2812,-33.203125,-31.73828125,-87.890625,-30.76171875,-22.94921875
1644477864583.1875,-50.29296875,-28.80859375,-491.2109375,-34.1796875,18.5546875
1644477864587.0938,-33.69140625,-29.78515625,-169.921875,-33.203125,-95.21484375
1644477864591,2.9296875,-33.203125,339.35546875,-19.04296875,-170.41015625
1644477864594.9062,6.34765625,-33.69140625,105.95703125,-8.30078125,60.05859375
1644477864598.8125,-19.53125,-31.25,-393.5546875,-14.16015625,258.30078125
1644477864602.7188,-50.78125,-33.203125,-326.66015625,-35.15625,-72.265625
1644477864606.625,-37.59765625,-37.59765625,2.44140625,-28.80859375,-242.67578125
1644477864610.5312,0,-37.109375,156.73828125,-6.34765625,-47.36328125
1644477864614.4375,-3.41796875,-35.15625,161.1328125,-5.859375,95.21484375
1644477864618.3438,-27.34375,-36.1328125,132.32421875,-23.92578125,-38.0859375
1644477864622.25,-51.7578125,-37.59765625,-134.765625,-39.55078125,-113.28125
1644477864626.1562,-47.36328125,-41.50390625,-232.421875,-41.9921875,-10.7421875
1644477864630.0625,-12.20703125,-37.109375,119.62890625,-22.4609375,34.66796875
1644477864633.9688,-2.9296875,-34.1796875,210.9375,-15.625,94.23828125
1644477864637.875,-29.296875,-39.0625,74.21875,-36.62109375,9.765625
1644477864641.7812,-56.15234375,-39.0625,-468.26171875,-40.0390625,202.1484375
1644477864645.6875,-48.33984375,-30.2734375,-717.7734375,-28.3203125,345.703125
1644477864649.5938,-13.18359375,-23.4375,93.75,-9.27734375,66.40625
1644477864653.5,2.9296875,-30.2734375,450.68359375,-3.41796875,5.37109375
1644477864657.4062,-12.6953125,-26.85546875,-99.609375,-13.671875,97.16796875
1644477864661.3125,-40.52734375,-14.16015625,-237.79296875,-32.2265625,-46.38671875
1644477864665.2188,-30.2734375,-8.30078125,-21.484375,-33.203125,-148.4375
1644477864669.125,-2.9296875,-16.6015625,147.94921875,-13.18359375,-15.625
1644477864673.0312,3.90625,-25.390625,251.46484375,-6.8359375,77.1484375
1644477864676.9375,-15.13671875,-25.87890625,206.0546875,-16.6015625,37.59765625
1644477864680.8438,-49.31640625,-28.80859375,-43.45703125,-34.1796875,-98.14453125
1644477864684.75,-48.828125,-31.73828125,-297.8515625,-39.0625,-84.47265625
1644477864688.6562,-16.11328125,-30.76171875,-220.703125,-18.5546875,124.51171875
1644477864692.5625,0,-28.80859375,71.2890625,-4.39453125,143.06640625
1644477864696.4688,-0.48828125,-20.5078125,93.26171875,-0.48828125,0.48828125
1644477864700.375,-20.01953125,-21.484375,-228.515625,-9.27734375,-34.1796875
1644477864704.2812,-41.015625,-31.25,-778.3203125,-22.94921875,242.67578125
1644477864708.1875,-20.01953125,-29.78515625,-230.95703125,-11.23046875,145.99609375
1644477864712.0938,6.8359375,-23.92578125,509.765625,13.671875,-104.00390625
1644477864716,-3.41796875,-27.34375,287.109375,6.34765625,-22.94921875
1644477864719.9062,-28.3203125,-30.2734375,8.30078125,-14.16015625,-58.59375
1644477864723.8125,-42.48046875,-25.390625,-106.4453125,-24.4140625,-171.875
1644477864727.7188,-14.6484375,-22.94921875,23.4375,-11.23046875,-135.7421875
1644477864731.625,18.06640625,-22.4609375,145.01953125,8.30078125,-38.0859375
1644477864735.5312,4.8828125,-22.4609375,58.59375,4.39453125,20.5078125
1644477864739.4375,-22.4609375,-19.04296875,-103.02734375,-10.25390625,45.8984375
1644477864743.3438,-47.36328125,-19.04296875,-165.52734375,-24.4140625,-66.40625
1644477864747.25,-26.85546875,-24.4140625,-370.1171875,-19.53125,96.19140625
1644477864751.1562,6.8359375,-19.04296875,-149.90234375,-14.16015625,221.19140625
1644477864755.0625,3.90625,-16.11328125,401.85546875,-12.6953125,-59.08203125
