time,TP9,AF7,AF8,TP10,AUX
1656409123365.125,35.64453125,-11.23046875,-36.62109375,57.12890625,91.796875
1656409123369.0312,11.71875,-4.39453125,-53.7109375,23.4375,54.19921875
1656409123372.9375,20.01953125,-7.32421875,-63.96484375,22.94921875,2.44140625
1656409123376.8438,52.734375,-8.30078125,-56.15234375,51.26953125,43.9453125
1656409123380.75,66.89453125,-2.9296875,-54.6875,68.84765625,246.09375
1656409123384.6562,69.3359375,9.27734375,-39.55078125,73.2421875,72.265625
1656409123388.5625,77.1484375,15.625,-48.33984375,66.40625,-131.8359375
1656409123392.4688,55.17578125,6.8359375,-76.66015625,61.03515625,-59.08203125
1656409123396.375,40.0390625,4.8828125,-79.58984375,72.75390625,21.97265625
1656409123400.2812,63.96484375,9.765625,-87.890625,101.07421875,-33.203125
1656409123404.1875,83.984375,2.9296875,-119.140625,103.515625,-106.93359375
1656409123408.0938,91.796875,-6.8359375,-140.625,92.7734375,-0.9765625
1656409123412,73.73046875,-7.8125,-127.9296875,77.63671875,48.33984375
1656409123415.9062,55.17578125,-11.71875,-121.09375,72.265625,41.9921875
1656409123419.8125,68.84765625,-16.6015625,-108.3984375,80.56640625,32.2265625
1656409123423.7188,99.12109375,-11.23046875,-104.4921875,95.21484375,156.25
1656409123427.625,97.65625,-5.37109375,-90.8203125,93.26171875,227.05078125
1656409123431.5312,75.1953125,-8.30078125,-72.75390625,76.171875,-26.85546875
1656409123435.4375,69.82421875,-8.7890625,-82.03125,72.265625,-116.69921875
1656409123439.3438,67.3828125,-5.859375,-78.61328125,72.75390625,-18.06640625
1656409123443.25,60.546875,-9.765625,-72.265625,73.73046875,-36.1328125
1656409123447.1562,47.8515625,-19.04296875,-75.68359375,61.5234375,-148.4375
1656409123451.0625,42.96875,-29.296875,-83.0078125,43.45703125,-125
1656409123454.9688,45.8984375,-26.3671875,-75.68359375,40.0390625,65.91796875
1656409123458.875,38.0859375,-23.4375,-61.03515625,39.55078125,25.390625
1656409123462.7812,38.0859375,-27.83203125,-59.08203125,47.36328125,12.6953125
1656409123466.6875,47.36328125,-30.76171875,-62.5,54.6875,79.58984375
1656409123470.5938,39.0625,-27.34375,-71.77734375,48.33984375,291.9921875
1656409123474.5,19.53125,-24.90234375,-38.57421875,53.7109375,222.65625
1656409123478.4062,27.34375,-28.80859375,-29.78515625,94.7265625,-72.265625
1656409123482.3125,20.01953125,-33.203125,-46.38671875,86.9140625,-68.84765625
