time,TP9,AF7,AF8,TP10,AUX
1656409013240.125,-73.73046875,-78.125,119.62890625,23.92578125,-105.46875
1656409013244.0312,-74.21875,-76.66015625,104.98046875,4.39453125,-120.60546875
1656409013247.9375,-68.359375,-78.125,95.703125,-3.41796875,-36.62109375
1656409013251.8438,-54.6875,-83.49609375,95.703125,-22.4609375,-44.921875
1656409013255.75,-42.48046875,-92.28515625,88.37890625,-16.6015625,-76.66015625
1656409013259.6562,-42.48046875,-95.703125,73.2421875,-16.6015625,-61.5234375
1656409013263.5625,-63.96484375,-95.703125,64.94140625,-32.71484375,166.50390625
1656409013267.4688,-81.0546875,-97.16796875,65.4296875,-30.76171875,221.6796875
1656409013271.375,-89.35546875,-100.5859375,67.87109375,-29.78515625,-89.35546875
1656409013275.2812,-85.44921875,-105.95703125,63.4765625,-16.11328125,-127.44140625
1656409013279.1875,-106.4453125,-103.515625,44.921875,-15.625,-42.48046875
1656409013283.0938,-105.95703125,-84.9609375,50.29296875,-25.390625,41.50390625
1656409013287,-65.4296875,-59.5703125,78.61328125,-3.41796875,-11.71875
1656409013290.9062,-60.546875,-53.22265625,87.890625,5.37109375,-78.61328125
1656409013294.8125,-59.5703125,-51.7578125,63.96484375,-7.8125,14.16015625
1656409013298.7188,-83.0078125,-68.84765625,18.06640625,-42.96875,12.20703125
1656409013302.625,-114.2578125,-98.6328125,-5.37109375,-61.03515625,-88.37890625
1656409013306.5312,-106.93359375,-93.26171875,3.90625,-44.921875,51.26953125
1656409013310.4375,-95.703125,-71.77734375,29.296875,-25.390625,308.59375
1656409013314.3438,-74.70703125,-65.91796875,40.0390625,-0.48828125,120.60546875
1656409013318.25,-64.453125,-64.453125,32.2265625,27.83203125,-118.1640625
1656409013322.1562,-77.63671875,-82.03125,20.5078125,15.625,-7.32421875
1656409013326.0625,-107.421875,-114.2578125,10.7421875,-23.92578125,51.26953125
1656409013329.9688,-137.20703125,-118.1640625,16.11328125,-40.52734375,-104.4921875
1656409013333.875,-139.16015625,-104.00390625,20.01953125,-34.1796875,-98.14453125
1656409013337.7812,-118.65234375,-83.984375,36.1328125,-20.01953125,1.953125
1656409013341.6875,-117.1875,-75.68359375,44.43359375,-29.78515625,125
1656409013345.5938,-103.515625,-70.80078125,32.71484375,-37.59765625,61.5234375
1656409013349.5,-96.19140625,-86.9140625,26.3671875,-46.38671875,-152.34375
1656409013353.4062,-81.54296875,-104.98046875,35.15625,-40.52734375,183.59375
1656409013357.3125,-42.48046875,-86.42578125,70.80078125,-9.765625,383.7890625
1656409013361.2188,-42.96875,-69.3359375,98.14453125,4.8828125,-32.71484375
1656409013365.125,-73.2421875,-76.66015625,98.6328125,-11.23046875,-155.76171875
1656409013369.0312,-123.53515625,-104.98046875,76.171875,-52.734375,-35.15625
1656409013372.9375,-151.3671875,-122.55859375,64.453125,-62.98828125,-36.62109375
1656409013376.8438,-133.30078125,-115.234375,83.49609375,-39.0625,-99.12109375
1656409013380.75,-122.0703125,-98.14453125,96.19140625,-23.4375,-78.125
1656409013384.6562,-120.1171875,-91.30859375,80.078125,-32.2265625,-69.82421875
1656409013388.5625,-104.00390625,-91.30859375,65.91796875,-40.0390625,-86.42578125
1656409013392.4688,-111.81640625,-114.2578125,45.41015625,-41.9921875,-141.11328125
