time,TP9,AF7,AF8,TP10,AUX
1656238965322.375,-15.625,26.85546875,-245.1171875,-74.21875,-62.98828125
1656238965326.2812,-20.99609375,234.375,-80.56640625,-83.49609375,-93.75
1656238965330.1875,-26.3671875,259.27734375,-38.57421875,-78.125,-87.890625
1656238965334.0938,-28.3203125,62.01171875,-174.31640625,-70.80078125,-82.03125
1656238965338,-40.0390625,23.4375,-233.88671875,-69.3359375,-32.71484375
1656238965341.9062,-41.9921875,-33.203125,-287.109375,-69.82421875,13.18359375
1656238965345.8125,-28.3203125,-28.80859375,-307.12890625,-85.44921875,-18.06640625
1656238965349.7188,-30.2734375,-91.30859375,-376.46484375,-82.51953125,17.578125
1656238965353.625,-24.90234375,-675.29296875,-866.2109375,-53.7109375,323.73046875
1656238965357.5312,-30.2734375,-151.3671875,-594.23828125,-38.57421875,186.5234375
1656238965361.4375,-28.80859375,476.5625,-78.125,-56.640625,-107.421875
1656238965365.3438,-0.9765625,197.75390625,-187.98828125,-64.94140625,-41.015625
1656238965369.25,4.39453125,184.5703125,-212.890625,-63.4765625,-50.29296875
1656238965373.1562,0,333.0078125,-83.0078125,-57.6171875,-115.234375
1656238965377.0625,11.23046875,242.67578125,-60.546875,-33.69140625,-76.171875
1656238965380.9688,25.87890625,-25.87890625,-232.421875,-21.484375,-4.8828125
1656238965384.875,51.26953125,98.6328125,-161.62109375,-21.484375,13.671875
1656238965388.7812,44.43359375,54.19921875,-193.84765625,-24.90234375,85.9375
1656238965392.6875,15.13671875,-85.9375,-315.91796875,-36.62109375,34.66796875
1656238965396.5938,-2.9296875,-387.6953125,-562.98828125,-33.69140625,179.19921875
1656238965400.5,-9.765625,-261.23046875,-544.43359375,-25.87890625,213.8671875
1656238965404.4062,0.48828125,406.73828125,-29.296875,-23.4375,-52.734375
1656238965408.3125,2.44140625,277.83203125,-40.0390625,-23.4375,-58.59375
1656238965412.2188,-16.11328125,-64.94140625,-288.0859375,-24.90234375,59.5703125
1656238965416.125,-23.92578125,146.97265625,-121.58203125,-22.94921875,16.11328125
1656238965420.0312,-32.71484375,354.98046875,90.33203125,-38.0859375,-103.515625
1656238965423.9375,-43.45703125,123.046875,-43.9453125,-45.8984375,-27.34375
1656238965427.8438,-51.7578125,-135.7421875,-270.01953125,-42.96875,121.58203125
1656238965431.75,-33.203125,161.1328125,-63.4765625,-31.73828125,28.80859375
1656238965435.6562,-31.25,165.52734375,7.32421875,-17.08984375,27.83203125
1656238965439.5625,-38.57421875,-133.30078125,-195.80078125,-9.765625,178.7109375
1656238965443.4688,-11.23046875,-493.1640625,-531.73828125,1.46484375,312.01171875
1656238965447.375,4.8828125,115.234375,-130.37109375,0.48828125,104.00390625
1656238965451.2812,7.32421875,544.43359375,279.296875,-5.859375,-75.68359375
1656238965455.1875,3.41796875,222.16796875,156.25,6.34765625,22.4609375
1656238965459.0938,-4.39453125,209.9609375,176.7578125,14.16015625,15.13671875
1656238965463,12.20703125,370.1171875,334.9609375,8.7890625,-38.57421875
1656238965466.9062,10.7421875,330.56640625,401.85546875,-1.46484375,12.20703125
1656238965470.8125,-7.32421875,-17.578125,185.05859375,6.34765625,155.76171875
1656238965474.7188,-1.953125,67.87109375,225.09765625,2.9296875,98.6328125
1656238965478.625,-20.99609375,261.23046875,428.7109375,-18.5546875,-15.625
1656238965482.5312,-22.4609375,56.640625,354.98046875,-22.94921875,38.0859375
1656238965486.4375,-1.46484375,-428.7109375,-29.78515625,-18.5546875,288.0859375
1656238965490.3438,-20.5078125,-426.26953125,-130.859375,-22.4609375,351.07421875
1656238965494.25,-29.78515625,382.32421875,522.94921875,-30.2734375,10.25390625
1656238965498.1562,-25.390625,374.51171875,676.7578125,-20.99609375,-62.01171875
1656238965502.0625,-22.4609375,71.77734375,522.4609375,-17.578125,9.27734375
1656238965505.9688,-25.87890625,226.07421875,648.4375,-31.25,-49.8046875
1656238965509.875,-18.06640625,328.61328125,787.59765625,-31.73828125,-92.7734375
1656238965513.7812,15.13671875,125.48828125,720.703125,-4.8828125,-81.54296875
1656238965517.6875,11.71875,-44.921875,605.95703125,9.765625,-59.08203125
1656238965521.5938,-0.48828125,185.05859375,814.453125,8.30078125,-15.625
1656238965525.5,26.85546875,242.67578125,930.6640625,-2.9296875,-43.9453125
1656238965529.4062,29.296875,-108.88671875,692.3828125,-3.90625,19.53125
1656238965533.3125,20.99609375,-348.14453125,492.1875,8.30078125,177.24609375
1656238965537.2188,34.66796875,-100.09765625,728.515625,29.296875,102.5390625
1656238965541.125,25.390625,245.60546875,995.1171875,43.9453125,-38.57421875
1656238965545.0312,18.5546875,-30.2734375,881.34765625,36.62109375,-7.8125
1656238965548.9375,50.29296875,-328.125,713.37890625,42.48046875,141.6015625
1656238965552.8438,81.54296875,182.12890625,933.10546875,48.828125,13.671875
1656238965556.75,50.78125,282.71484375,-997.55859375,46.38671875,-81.0546875
1656238965560.6562,25.87890625,-187.01171875,900.87890625,50.78125,81.0546875
1656238965564.5625,56.640625,-284.66796875,900.87890625,42.48046875,130.37109375
1656238965568.4688,62.01171875,146.484375,980.95703125,35.15625,-79.58984375
1656238965572.375,61.03515625,176.7578125,966.30859375,47.8515625,-97.65625
1656238965576.2812,51.26953125,-301.26953125,938.96484375,52.24609375,135.7421875
1656238965580.1875,47.8515625,-330.078125,957.51953125,54.19921875,144.04296875
1656238965584.0938,60.546875,40.0390625,971.19140625,47.8515625,-21.97265625
1656238965588,58.59375,3.90625,977.05078125,39.0625,29.296875
1656238965591.9062,41.9921875,-590.8203125,895.5078125,35.64453125,226.07421875
1656238965595.8125,34.1796875,-553.7109375,899.4140625,30.76171875,238.76953125
1656238965599.7188,34.66796875,131.34765625,981.4453125,26.85546875,-48.828125
1656238965603.625,25.87890625,18.5546875,965.33203125,21.484375,-92.28515625
1656238965607.5312,33.203125,-165.52734375,968.26171875,16.6015625,-37.109375
1656238965611.4375,33.203125,4.39453125,968.26171875,15.625,-104.00390625
1656238965615.3438,25.390625,48.33984375,968.26171875,14.6484375,-88.37890625
1656238965619.25,-1.953125,-169.921875,968.26171875,0,-36.62109375
1656238965623.1562,22.94921875,-418.9453125,969.23828125,-15.13671875,82.51953125
1656238965627.0625,54.19921875,-354.98046875,965.8203125,-6.8359375,149.90234375
1656238965630.9688,27.83203125,-136.71875,972.16796875,-3.90625,3.41796875
1656238965634.875,-1.953125,-306.15234375,960.44921875,1.953125,21.97265625
1656238965638.7812,0.9765625,-778.80859375,936.5234375,10.25390625,213.37890625
1656238965642.6875,10.7421875,-313.4765625,964.35546875,-9.27734375,34.1796875
1656238965646.5938,25.87890625,-90.33203125,971.6796875,-16.6015625,21.97265625
1656238965650.5,40.52734375,-412.109375,966.796875,-12.6953125,120.60546875
1656238965654.4062,23.92578125,-410.15625,968.75,-4.39453125,91.796875
1656238965658.3125,-13.671875,-39.0625,968.75,-10.25390625,-22.4609375
1656238965662.2188,11.71875,-73.2421875,968.26171875,-13.18359375,-53.7109375
1656238965666.125,40.52734375,-356.4453125,968.75,-20.01953125,13.18359375
1656238965670.0312,2.9296875,-400.390625,967.28515625,-17.08984375,25.87890625
1656238965673.9375,-1.953125,-343.26171875,968.26171875,-16.11328125,70.80078125
1656238965677.8438,1.953125,-167.48046875,975.5859375,-25.87890625,43.45703125
1656238965681.75,-5.859375,-596.19140625,902.83203125,-33.203125,207.51953125
1656238965685.6562,-20.5078125,-510.25390625,919.43359375,-60.05859375,207.51953125
